budget,model,strategy,objective,solver,config,avg_decision_coverage,avg_density_phi,decision_D1_coverage,decision_D2_coverage,decision_D3_coverage,decision_D4_coverage,decision_D5_coverage,global_gr_coverage,redundancy_score,semantic_volume
500,BAAI/bge-m3,prior,mmr,greedy,prior/mmr/greedy,0.7183774834929034,0.05540153807696869,0.7169198107101937,0.7235174320699005,0.7016204142526452,0.6907483693349998,0.8114658258233324,0.697070743964602,0.32900796106682634,-0.3720494892167033
500,BAAI/bge-m3,prior,graphcut,greedy,prior/graphcut/greedy,0.7179996581323977,0.05512855714187026,0.718697955238288,0.7210795132747508,0.7050726927295409,0.7110705688428011,0.6192429942861265,0.6992225574020527,0.3234493097747272,-0.3511503360954658
500,BAAI/bge-m3,prior,fl,greedy,prior/fl/greedy,0.8357040606101644,0.05024033693491288,0.8382199782176325,0.8332375093168373,0.8240457497758874,0.8239329613575983,0.8046166471054438,0.821381633069026,0.5271056862372272,-0.960269809612688
500,BAAI/bge-m3,prior,mmr,cost_norm,prior/mmr/cost_norm,0.7283023762211993,0.05022713312668339,0.7213255967337026,0.7336788199892315,0.7219719756085555,0.7194323311415018,0.6924736280799568,0.7096792866417295,0.3696542253612347,-0.3364577326080147
500,BAAI/bge-m3,prior,graphcut,cost_norm,prior/graphcut/cost_norm,0.726719680869895,0.05004494059128019,0.7201476656700143,0.7334989071878883,0.7185710297185213,0.7217642557146651,0.7017899795041034,0.707572580588245,0.36802581423577274,-0.3368312418812288
500,BAAI/bge-m3,prior,fl,cost_norm,prior/fl/cost_norm,0.8470920202457465,0.04628856798177058,0.8508135989470559,0.8447143522158287,0.834144095905848,0.8369360295465345,0.7764277282291075,0.8366891609586611,0.48909300931219785,-2.343564901711806
500,BAAI/bge-m3,prior,dpp,dpp,prior/dpp/dpp,0.7229211045954881,0.06693913806054108,0.715929226928867,0.7285878488970483,0.7178487358657077,0.6935161845782313,0.6277933868660879,0.6922153348005179,0.4120498353017951,-0.5718545918967927
500,BAAI/bge-m3,prior,mmr,topk,prior/mmr/topk,0.6803058405109473,0.0693479688082523,0.6753166227966967,0.6831651170187895,0.6767117820113309,0.6828158681893276,0.6277933868660879,0.6472633368719949,0.5670684397501765,-5.925829447841026
500,BAAI/bge-m3,prior,graphcut,topk,prior/graphcut/topk,0.6803058405109473,0.0693479688082523,0.6753166227966967,0.6831651170187895,0.6767117820113309,0.6828158681893276,0.6277933868660879,0.6472633368719949,0.5670684397501765,-5.925829447841026
500,BAAI/bge-m3,prior,fl,topk,prior/fl/topk,0.6803058405109473,0.0693479688082523,0.6753166227966967,0.6831651170187895,0.6767117820113309,0.6828158681893276,0.6277933868660879,0.6472633368719949,0.5670684397501765,-5.925829447841026
