budget,model,strategy,objective,solver,config,avg_decision_coverage,avg_density_phi,decision_D1_coverage,decision_D2_coverage,decision_D3_coverage,decision_D4_coverage,decision_D5_coverage,global_gr_coverage,redundancy_score,semantic_volume
500,BAAI/bge-m3,prior,mmr,greedy,prior/mmr/greedy,0.7083641881968319,0.026085277360354393,0.7049083538196329,0.7101962149659827,0.7058533101290918,0.6926709453212985,0.6398941924436397,0.6919924229928618,0.32706138807928786,-0.43302902979951985
500,BAAI/bge-m3,prior,graphcut,greedy,prior/graphcut/greedy,0.7090258313058405,0.025987604136561166,0.7070033625442601,0.7081114089686003,0.7065713782846851,0.6950801617413694,0.6398941924436397,0.6954067657567403,0.32442060169183984,-0.5020632372712189
500,BAAI/bge-m3,prior,fl,greedy,prior/fl/greedy,0.8343353132995991,0.019118026210838614,0.8358734882206191,0.8333757112828364,0.8220026004886151,0.8184157344381545,0.8046166471054438,0.8203892972915963,0.5257821860459616,-0.9110418060478175
500,BAAI/bge-m3,prior,mmr,cost_norm,prior/mmr/cost_norm,0.7201848307282772,0.025033203234790632,0.7135696775349453,0.7227455103717063,0.7173672034330607,0.6788994632583029,0.6464603743163923,0.6970334920394036,0.36462680672137243,-0.3050622814598511
500,BAAI/bge-m3,prior,graphcut,cost_norm,prior/graphcut/cost_norm,0.7211888932115916,0.025080311990712048,0.714840240060022,0.7230787391724078,0.7177918203215655,0.6787893120341706,0.6464603743163923,0.6996554122612598,0.36265105487040755,-0.30367052375848563
500,BAAI/bge-m3,prior,fl,cost_norm,prior/fl/cost_norm,0.8467089839474893,0.019485027841204462,0.8493194882769587,0.8445934841568862,0.8373888578631795,0.8343467813912455,0.8029351702847273,0.8329686086858105,0.48670270856259,-2.358529380469952
500,BAAI/bge-m3,prior,dpp,dpp,prior/dpp/dpp,0.6663268802324911,0.034110767090306526,0.6622080160704419,0.6714383379035693,0.6563803519846234,0.6269342294293389,0.6763068643728368,0.6323079051224697,0.4531785251115853,-0.7321251994877491
500,BAAI/bge-m3,prior,mmr,topk,prior/mmr/topk,0.6490891854425455,0.036371119575188404,0.6457294119568646,0.6514295193554483,0.6462045837633279,0.6403310470922288,0.7289870269788341,0.6176056922990023,0.6551380333191944,-7.2707878675241515
500,BAAI/bge-m3,prior,graphcut,topk,prior/graphcut/topk,0.6490891854425455,0.036371119575188404,0.6457294119568646,0.6514295193554483,0.6462045837633279,0.6403310470922288,0.7289870269788341,0.6176056922990023,0.6551380333191944,-7.2707878675241515
500,BAAI/bge-m3,prior,fl,topk,prior/fl/topk,0.6490891854425455,0.03637111959276053,0.6457294119568646,0.6514295193554483,0.6462045837633279,0.6403310470922288,0.7289870269788341,0.6176056922990023,0.6551380333191944,-7.2707878675241515
500,NovaSearch/stella_en_1.5B_v5,prior,mmr,greedy,prior/mmr/greedy,0.6077245317523631,0.0632290440295243,0.6122874830139038,0.6097219277349691,0.5918510600963842,0.6099771462506393,0.570075823668639,0.5840376581545856,0.12109621343607048,-0.08814882530531065
500,NovaSearch/stella_en_1.5B_v5,prior,graphcut,greedy,prior/graphcut/greedy,0.6051062673104535,0.06246882078747423,0.6098149117395936,0.6056187726877319,0.5885903227843958,0.6069620916344808,0.570075823668639,0.5843047638374003,0.11415667129012774,-0.08366973441128295
500,NovaSearch/stella_en_1.5B_v5,prior,fl,greedy,prior/fl/greedy,0.7995977516756317,0.04062670565052134,0.8001719324442583,0.7998942146435566,0.7900268948206903,0.7611730191246777,0.7262212613476065,0.7923848323549271,0.37993140492307126,-0.6821727762520445
500,NovaSearch/stella_en_1.5B_v5,prior,mmr,cost_norm,prior/mmr/cost_norm,0.6144934914703163,0.05786562005479662,0.6106552055179705,0.6168834631851153,0.6068555824793854,0.6701537341574307,0.5692207087653216,0.5983095876660793,0.1440821595771133,-0.09530667289278803
500,NovaSearch/stella_en_1.5B_v5,prior,graphcut,cost_norm,prior/graphcut/cost_norm,0.6194110205528808,0.05740432765440277,0.6196241521874548,0.6236839477421222,0.6054961716755336,0.6597631804322569,0.47667512897021397,0.6032028477035299,0.13640778223579786,-0.08334758921574696
500,NovaSearch/stella_en_1.5B_v5,prior,fl,cost_norm,prior/fl/cost_norm,0.8217280033357995,0.03864912041638679,0.8236482661075873,0.820763199613242,0.8196691439381925,0.7978752569572284,0.7304924851831833,0.8099592021272973,0.37487136305503127,-1.93630857372059
