budget,model,prior_method,strategy,objective,solver,config,avg_decision_coverage,avg_density_phi,decision_D1_coverage,decision_D2_coverage,decision_D3_coverage,decision_D4_coverage,decision_D5_coverage,global_gr_coverage,redundancy_score,semantic_volume
250,BAAI/bge-m3,centroid,prior,mmr,greedy,prior/mmr/greedy,0.6541811377642344,0.03153782327800005,0.6476077314061927,0.6601594676104982,0.6390492357461728,0.6295961919129512,0.644452130358394,0.6295253357853368,0.23811101358173029,-0.10079489969046321
250,BAAI/bge-m3,centroid,prior,graphcut,greedy,prior/graphcut/greedy,0.654276110667168,0.03152285734595696,0.6482579531078014,0.6600547116953437,0.6390194936999777,0.6295860814938116,0.626361047655767,0.6295580473772102,0.2378344086684146,-0.10033670233856666
250,BAAI/bge-m3,centroid,prior,fl,greedy,prior/fl/greedy,0.7991496779072649,0.017614261941316555,0.8040555067649725,0.7957143249122679,0.787266133687163,0.7673400399941206,0.8046163068116273,0.7841499166845308,0.36293462438965746,-0.28820788459693186
250,BAAI/bge-m3,centroid,prior,mmr,cost_norm,prior/mmr/cost_norm,0.6917850027285147,0.026514051490867475,0.690693781497581,0.6889447807875575,0.6863254036321709,0.6700397212126424,0.6644307377876206,0.673429409586438,0.3290982058728641,-0.11984170607800754
250,BAAI/bge-m3,centroid,prior,graphcut,cost_norm,prior/graphcut/cost_norm,0.6917850027285147,0.026514051499653538,0.690693781497581,0.6889447807875575,0.6863254036321709,0.6700397212126424,0.6644307377876206,0.673429409586438,0.3290982058728641,-0.11984170607800754
250,BAAI/bge-m3,centroid,prior,fl,cost_norm,prior/fl/cost_norm,0.8091955498209342,0.019118961724364815,0.8112675518253466,0.8095583706824536,0.7917684206179615,0.7879444850390076,0.7480454373915526,0.7913767391014789,0.49308538675870534,-0.7928318769302009
250,BAAI/bge-m3,centroid,prior,dpp,dpp,prior/dpp/dpp,0.6315317944290616,0.035011217749308585,0.6254998419544643,0.6343457339388806,0.6288806149494306,0.6267335255265795,0.6338831999324857,0.6006924003872341,0.32779150196122675,-0.2342402332656999
250,BAAI/bge-m3,centroid,prior,mmr,topk,prior/mmr/topk,0.6241876960131031,0.036052353131004945,0.6207385282139238,0.6267133971645238,0.6174806718404113,0.6034625847638165,0.6338831999324857,0.5932657652253164,0.43732658647141365,-2.1636821165822755
250,BAAI/bge-m3,centroid,prior,graphcut,topk,prior/graphcut/topk,0.6241876960131031,0.036052353131004945,0.6207385282139238,0.6267133971645238,0.6174806718404113,0.6034625847638165,0.6338831999324857,0.5932657652253164,0.43732658647141365,-2.1636821165822755
250,BAAI/bge-m3,centroid,prior,fl,topk,prior/fl/topk,0.6241876960131031,0.03605235311343282,0.6207385282139238,0.6267133971645238,0.6174806718404113,0.6034625847638165,0.6338831999324857,0.5932657652253164,0.43732658647141365,-2.1636821165822755
250,NovaSearch/stella_en_1.5B_v5,centroid,prior,mmr,greedy,prior/mmr/greedy,0.49095647646626983,0.07630140041791887,0.4932692549701762,0.49195144295566184,0.487818561796531,0.5517838727000418,0.5893371128386216,0.47638933073555423,0.06459984843584024,-0.018233538556135926
250,NovaSearch/stella_en_1.5B_v5,centroid,prior,graphcut,greedy,prior/graphcut/greedy,0.49104316216620186,0.07631093825055461,0.49417249298627436,0.4914883810447709,0.48753145481046223,0.5517838727000418,0.5893371128386216,0.47677875368233197,0.06460329573513623,-0.018256204171206464
250,NovaSearch/stella_en_1.5B_v5,centroid,prior,fl,greedy,prior/fl/greedy,0.760678964145622,0.036611142014768325,0.7601413900253096,0.7587281672162265,0.7581275045318743,0.7359799273328806,0.6570347626740146,0.7560161400306902,0.2833525941373323,-0.20436626906795008
250,NovaSearch/stella_en_1.5B_v5,centroid,prior,mmr,cost_norm,prior/mmr/cost_norm,0.5650424244638945,0.06033521352933263,0.5608297499817259,0.5707621322580079,0.5626571822560755,0.6190603409269723,0.4699198952612474,0.5504583718109798,0.10151748064430957,-0.03758628619515814
250,NovaSearch/stella_en_1.5B_v5,centroid,prior,graphcut,cost_norm,prior/graphcut/cost_norm,0.5668333016445515,0.0602510854742437,0.5653485285594926,0.5716565270756528,0.563010269740388,0.6162297023368666,0.4699198952612474,0.5537283721979633,0.10082317899719302,-0.03714294501981789
250,NovaSearch/stella_en_1.5B_v5,centroid,prior,fl,cost_norm,prior/fl/cost_norm,0.7713425329314303,0.03761200220236238,0.7721840805847803,0.7700512803640037,0.7651779144616091,0.7585935700019417,0.7310239552160132,0.7636976094390988,0.3872974432020817,-0.5880718515627965
250,NovaSearch/stella_en_1.5B_v5,centroid,prior,dpp,dpp,prior/dpp/dpp,0.38067650639383277,0.08759178197503371,0.3774634370442157,0.38661044992314786,0.37354465644300455,0.37680033647485744,0.4699198952612474,0.3412224978627149,0.18460229288716362,-0.08576484011030222
250,NovaSearch/stella_en_1.5B_v5,centroid,prior,mmr,topk,prior/mmr/topk,0.3634053751588028,0.0889103405862906,0.35911999528559657,0.3689492564048648,0.3503354355190017,0.36607076728100196,0.4699198952612474,0.32507446389449934,0.27495097927749157,-1.6456113981286524
250,NovaSearch/stella_en_1.5B_v5,centroid,prior,graphcut,topk,prior/graphcut/topk,0.3634053751588028,0.0889103405862906,0.35911999528559657,0.3689492564048648,0.3503354355190017,0.36607076728100196,0.4699198952612474,0.32507446389449934,0.27495097927749157,-1.6456113981286524
250,NovaSearch/stella_en_1.5B_v5,centroid,prior,fl,topk,prior/fl/topk,0.3634053751588028,0.0889103405862906,0.35911999528559657,0.3689492564048648,0.3503354355190017,0.36607076728100196,0.4699198952612474,0.32507446389449934,0.27495097927749157,-1.6456113981286524
250,all-MiniLM-L6-v2,centroid,prior,mmr,greedy,prior/mmr/greedy,0.3053451517944427,0.09615033179662137,0.3042713793533694,0.30669924627354295,0.28503713022522276,0.26731423121283937,0.3132559276287231,0.2962026404246216,-0.005645165997460901,-0.005972732097056219
250,all-MiniLM-L6-v2,centroid,prior,graphcut,greedy,prior/graphcut/greedy,0.3071573514017134,0.09617014747675297,0.3062479301125578,0.31012551761320983,0.2851289791980154,0.26731423121283937,0.3132559276287231,0.2982606887258436,-0.005676486586510709,-0.00605093913488958
250,all-MiniLM-L6-v2,centroid,prior,fl,greedy,prior/fl/greedy,0.6308859663166094,0.04975006288304081,0.6420306231954392,0.6319507795125388,0.6067416533106487,0.5591721344890672,0.5026147079503555,0.6502908699278507,0.2325749383494697,-0.13057606199218885
250,all-MiniLM-L6-v2,centroid,prior,mmr,cost_norm,prior/mmr/cost_norm,0.42892427367561603,0.07522295461088982,0.4300806001877192,0.42781335098225426,0.4185334231332161,0.38141738610528636,0.3132559276287231,0.41976958446277335,0.0188594941327948,-0.019497963609888706
250,all-MiniLM-L6-v2,centroid,prior,graphcut,cost_norm,prior/graphcut/cost_norm,0.4344964323259313,0.07483676276257578,0.4318939536740664,0.4318932071422703,0.42921016110609483,0.41645248159410053,0.3132559276287231,0.42939063712832337,0.016474467947258712,-0.021914830586340184
